iter time body_index x y vx vy mass
92 0.92 0 -0.893821 0.448425 0.224211 0.446911 1
92 0.92 1 0.893821 -0.448425 -0.224211 -0.446911 1
93 0.93 0 -0.891568 0.452888 0.226443 0.445784 1
93 0.93 1 0.891568 -0.452888 -0.226443 -0.445784 1
94 0.94 0 -0.889293 0.45734 0.228669 0.444646 1
94 0.94 1 0.889293 -0.45734 -0.228669 -0.444646 1
95 0.95 0 -0.886995 0.461781 0.230889 0.443497 1
95 0.95 1 0.886995 -0.461781 -0.230889 -0.443497 1
96 0.96 0 -0.884675 0.46621 0.233104 0.442337 1
96 0.96 1 0.884675 -0.46621 -0.233104 -0.442337 1
97 0.97 0 -0.882333 0.470628 0.235312 0.441166 1
97 0.97 1 0.882333 -0.470628 -0.235312 -0.441166 1
98 0.98 0 -0.879969 0.475034 0.237515 0.439984 1
98 0.98 1 0.879969 -0.475034 -0.237515 -0.439984 1
99 0.99 0 -0.877582 0.479428 0.239712 0.438791 1
99 0.99 1 0.877582 -0.479428 -0.239712 -0.438791 1
